SPECIES_WURMPLE			SCATTERBUG
SPECIES_SNORUNT			SNOVER
SPECIES_CLAYDOL			HIPPOWDON
SPECIES_BANETTE			COFAGRIGUS
SPECIES_GYARADOS		GYARADOS
SPECIES_ALTARIA			ALTARIA
SPECIES_SUNKERN			FOMANTIS
SPECIES_MAREEP			TOXEL
SPECIES_AIPOM			MAGBY
SPECIES_SPINARAK		SPINARAK
SPECIES_HOOTHOOT		MURKROW
SPECIES_SNUBBULL		SNUBBULL
SPECIES_STANTLER		FALINKS
SPECIES_GLIGAR			GLIGAR
SPECIES_WOOPER			WOOPER
SPECIES_QUAGSIRE		QUAGSIRE
SPECIES_REMORAID		DRATINI (SHHHH)
SPECIES_OCTILLERY		DRAGONAIR
SPECIES_TEDDIURSA		TEDDIURSA
SPECIES_LEDYBA			LEDYBA
SPECIES_PINECO			PINECO
SPECIES_HOUNDOUR		HOUNDOUR
SPECIES_MILTANK			MILTANK
SPECIES_SHUCKLE			SHUCKLE
SPECIES_DITTO			DITTO
SPECIES_SMEARGLE		SMEARGLE
SPECIES_BULBASAUR
SPECIES_IVYSAUR
SPECIES_VENUSAUR
SPECIES_CHARMANDER
SPECIES_CHARMELEON
SPECIES_CHARIZARD
SPECIES_SQUIRTLE
SPECIES_WARTORTLE
SPECIES_MILOTIC
SPECIES_DUSCLOPS
SPECIES_BRELOOM
